"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts"
"SAHUARITA AZ",-110.9567032,31.95795059,632,172,184,276
"SALADO TX",-97.53890228,30.94765282,1,1,0,0
"SALEM IL",-88.94590759,38.62715149,143,37,51,55
"SALEM IN",-86.10127258,38.60612488,4,2,0,2
"SALEM MA",-70.89565277,42.51993179,150,42,42,66
"SALEM MO",-91.53616333,37.64583206,8,0,4,4
"SALEM NH",-71.19998169,42.78861618,17,2,7,8
"SALEM NJ",-75.46625519,39.5720787,3,0,2,1
"SALEM OH",-80.85612488,40.90091705,7,3,1,3
"SALEM OR",-123.0377197,44.94248199,566,142,166,258
"SALEM VA",-80.05405426,37.29384232,11,3,2,6
"SALEMBURG NC",-78.50263977,35.01582718,1,0,0,1
"SALINA KS",-97.61184692,38.84041977,36,5,11,20
"SALINAS CA",-121.6571732,36.67780304,747,196,218,333
"SALINE MI",-83.78155518,42.16699982,7,4,2,1
"SALISBURY MD",-75.5984726,38.36100388,157,46,36,75
"SALISBURY NC",-80.47377014,35.67113495,52,9,16,27
"SALT LAKE CITY UT",-111.8912659,40.77029037,1436,387,394,655
"SALTILLO MS",-88.68186188,34.37690353,5,2,3,0
"SALTVILLE VA",-81.74578857,36.8660965,1,0,0,1
"SALUDA NC",-82.34889221,35.23649216,6,1,2,3
"SALUDA SC",-81.77184296,34.00602722,3,1,1,1
"SAN ANGELO TX",-100.4379044,31.46401215,138,34,40,64
"SAN ANSELMO CA",-122.5641785,37.97429276,18,3,7,8
"SAN ANTONIO TX",-98.49394989,29.42439651,6150,1579,1704,2867
"SAN BENITO TX",-97.63174438,26.1331501,15,3,4,8
"SAN BERNARDINO CA",-117.304596,34.12142563,260,61,73,126
"SAN BRUNO CA",-122.4133148,37.63018799,8,4,2,2
"SAN CARLOS CA",-122.262207,37.50718307,68,15,15,38
"SAN CLEMENTE CA",-117.6134033,33.42698669,39,10,9,20
"SAN DIEGO CA",-117.1587296,32.71524429,8676,2372,2460,3844
"SAN DIMAS CA",-117.8088913,34.10668945,17,2,6,9
"SAN FERNANDO CA",-118.4407349,34.28187561,6,2,0,4
"SAN FRANCISCO CA",-122.4213257,37.77465057,12778,3580,3465,5733
"SAN GABRIEL CA",-118.107605,34.09612274,12,5,4,3
"SAN JACINTO CA",-116.9603272,33.78380585,4,2,0,2
"SAN JOSE CA",-121.8973846,37.33491516,2258,608,567,1083
"SAN JUAN BAUTISTA CA",-121.5400391,36.84537506,1,1,0,0
"SAN JUAN CAPISTRANO CA",-117.6644516,33.50197601,7,3,2,2
"SAN LEANDRO CA",-122.155983,37.70180511,141,31,56,54
"SAN LUIS OBISPO CA",-120.6622849,35.28281021,199,40,56,103
"SAN MARCOS CA",-117.1673966,33.14345551,100,32,23,45
"SAN MARCOS TX",-97.94176483,29.88363266,564,129,180,255
"SAN MATEO CA",-122.3270264,37.56283569,184,59,47,78
"SAN PABLO CA",-122.3469696,37.96184921,7,2,3,2
"SAN RAFAEL CA",-122.5331726,37.97325134,101,33,28,40
"SAN RAMON CA",-121.9799347,37.77985764,93,23,27,43
"SAND SPRINGS OK",-96.10940552,36.13979721,6,0,2,4
"SANDERSVILLE GA",-82.80982208,32.98189545,1,0,0,1
"SANDPOINT ID",-116.5548554,48.27656555,4,0,1,3
"SANDUSKY OH",-82.7080307,41.44903183,18,3,3,12
"SANDWICH MA",-70.49419403,41.75436783,2,1,1,0
"SANDY OR",-122.263649,45.39704132,91,34,21,36
"SANDY SPRINGS GA",-84.37850952,33.92443848,51,10,17,24
"SANFORD FL",-81.27256012,28.80128288,195,51,39,105
"SANFORD ME",-70.77335358,43.43920135,7,0,2,5
"SANFORD MI",-84.38056946,43.67271042,7,2,1,4
"SANFORD NC",-79.17978668,35.4800415,17,10,4,3
"SANGER CA",-119.5580063,36.70794296,21,5,10,6
"SANGER TX",-97.17427063,33.36363983,1,0,1,0
"SANIBEL FL",-82.02768707,26.45082092,1,0,1,0
"SANTA ANA CA",-117.8697281,33.74567413,233,61,66,106
"SANTA BARBARA CA",-119.7056656,34.4233017,864,252,231,381
"SANTA CLARA CA",-121.946434,37.34754181,299,72,89,138
"SANTA CLARA UT",-113.6550903,37.13301849,2,1,1,0
"SANTA CLAUS GA",-82.33099365,32.17210007,1,0,1,0
"SANTA CRUZ CA",-122.0333557,36.97389984,618,169,187,262
"SANTA FE NM",-105.9468155,35.68014526,628,168,170,290
"SANTA FE SPRINGS CA",-118.0864639,33.94723129,2,0,0,2
"SANTA MARIA CA",-120.437973,34.95292664,37,9,7,21
"SANTA MONICA CA",-118.4925232,34.01921082,1180,318,329,533
"SANTA PAULA CA",-119.0609283,34.35404587,15,2,4,9
"SANTA ROSA CA",-122.7165146,38.44017792,709,192,202,315
"SANTAQUIN UT",-111.7862549,39.97566605,1,0,0,1
"SANTEE CA",-116.9754105,32.83840942,1,1,0,0
"SAPULPA OK",-96.11476135,35.99878311,8,0,0,8
"SARALAND AL",-88.07051086,30.82098389,2,0,2,0
"SARANAC LAKE NY",-74.1305542,44.32965851,30,9,8,13
"SARASOTA FL",-82.53031158,27.33688736,279,72,78,129
"SARATOGA CA",-122.0252457,37.26384735,25,4,9,12
"SARATOGA SPRINGS NY",-73.78382111,43.08345032,80,17,24,39
"SARATOGA WY",-106.807579,41.45475769,5,3,0,2
"SARCOXIE MO",-94.11733246,37.06952286,2,0,2,0
"SARTELL MN",-94.20728302,45.62141418,5,2,1,2
"SATELLITE BEACH FL",-80.58939362,28.17677498,11,5,3,3
"SATSUMA AL",-88.05622101,30.85362816,1,1,0,0
"SAUGATUCK MI",-86.2021637,42.65496826,8,2,2,4
"SAUGERTIES NY",-73.95199585,42.07786942,41,11,13,17
"SAUGUS MA",-71.00926971,42.46496964,8,1,4,3
"SAUK CENTRE MN",-94.95289612,45.73757935,2,0,0,2
"SAUK CITY WI",-89.72237396,43.27073669,2,2,0,0
"SAUK RAPIDS MN",-94.16661835,45.59189987,6,2,1,3
"SAUK VILLAGE IL",-87.56780243,41.48827362,4,2,2,0
"SAUKVILLE WI",-87.94111633,43.38184738,3,1,1,1
"SAUSALITO CA",-122.4881592,37.85736847,32,8,17,7
"SAVAGE MN",-93.33673096,44.7649498,2,1,0,1
"SAVANNA OK",-95.8442688,34.82937241,2,1,0,1
"SAVANNAH GA",-81.09463501,32.07280731,1038,278,279,481
"SAVANNAH MO",-94.83063507,39.94184875,3,0,0,3
"SAVANNAH TN",-88.24948883,35.22502518,2,0,0,2
"SAVOY IL",-88.25175476,40.05500793,2,0,0,2
"SAXONBURG PA",-79.80976105,40.75429535,2,1,0,1
"SAYBROOK IL",-88.52610016,40.42657089,1,1,0,0
"SAYREVILLE NJ",-74.36043549,40.45940018,10,0,6,4
"SCAPPOOSE OR",-122.8793793,45.75388336,1,0,0,1
"SCARSDALE NY",-73.78360748,41.00525665,13,3,5,5
"SCHAUMBURG IL",-88.08359528,42.03350449,31,7,11,13
"SCHENECTADY NY",-73.938591,42.81433487,43,14,14,15
"SCHERERVILLE IN",-87.44911957,41.49306488,8,2,4,2
"SCHOFIELD WI",-89.60473633,44.90977859,3,1,1,1
"SCHULENBURG TX",-96.90359497,29.68226433,2,1,0,1
"SCHUYLKILL HAVEN PA",-76.17021942,40.63098145,8,2,4,2
"SCITUATE MA",-70.72504425,42.19600677,1,0,1,0
"SCOOBA MS",-88.47669983,32.82835388,1,0,0,1
"SCOTCH PLAINS NJ",-74.38912964,40.65579605,15,6,5,4
"SCOTIA NE",-98.70371246,41.4665184,2,0,2,0
"SCOTLAND NECK NC",-77.41972351,36.12969589,5,1,2,2
"SCOTLAND SD",-97.72131348,43.14982605,1,0,1,0
"SCOTT CITY KS",-100.9082565,38.48249817,1,0,0,1
"SCOTT LA",-92.09500885,30.23620224,4,1,1,2
"SCOTTSBLUFF NE",-103.6682434,41.86663818,73,19,11,43
"SCOTTSBORO AL",-86.03386688,34.67259216,6,3,0,3
"SCOTTSBURG IN",-85.77010345,38.68574142,1,0,0,1
"SCOTTSDALE AZ",-111.9002533,33.50918579,540,149,161,230
"SCOTTSVILLE TX",-94.23889923,32.54086304,2,0,2,0
"SCRANTON PA",-75.66184998,41.40919113,153,36,42,75
"SCRANTON SC",-79.7436142,33.91777802,3,1,0,2
"SEABROOK TX",-95.02601624,29.56442451,18,5,8,5
"SEAFORD DE",-75.61972809,38.64723206,23,11,6,6
"SEAGOVILLE TX",-96.53910828,32.63978958,1,0,1,0
"SEAL BEACH CA",-118.1067505,33.74150848,8,3,4,1
"SEALY TX",-96.15762329,29.78135109,3,2,0,1
"SEARCY AR",-91.73634338,35.25092697,19,6,6,7
"SEARSPORT ME",-68.92290497,44.45871353,3,1,1,1
"SEASIDE CA",-121.8542252,36.6110611,23,4,7,12
"SEASIDE OR",-123.9250565,45.99291992,3,2,0,1
"SEAT PLEASANT MD",-76.90610504,38.8963623,13,6,1,6
"SEATTLE WA",-122.3343964,47.60571289,19212,5443,5450,8319
"SEBASTIAN FL",-80.47020721,27.81705856,7,2,2,3
"SEBASTOPOL CA",-122.8264999,38.40188217,26,5,4,17
"SEBRING FL",-81.4406662,27.49625397,9,0,2,7
"SECAUCUS NJ",-74.05567169,40.78977585,7,1,4,2
"SEDALIA MO",-93.22884369,38.70438766,39,9,10,20
"SEDONA AZ",-111.7623367,34.86959839,87,24,24,39
"SEGUIN TX",-97.96529388,29.56933594,64,14,20,30
"SEILING OK",-98.9247818,36.14834976,2,0,0,2
"SELAH WA",-120.5326233,46.65384674,3,0,1,2
"SELBYVILLE DE",-75.22740173,38.45663452,2,1,0,1
"SELINSGROVE PA",-76.86167145,40.79915619,5,1,4,0
"SELLERSBURG IN",-85.75473785,38.39831543,9,1,1,7
"SELMA AL",-87.02119446,32.40768433,19,7,1,11
"SELMA CA",-119.6140518,36.57050323,10,4,2,4
"SELMA NC",-78.28382874,35.53673172,1,1,0,0
"SEMINOLE FL",-82.79083252,27.84035683,13,4,3,6
"SEMMES AL",-88.25917053,30.7788372,7,2,2,3
"SENATOBIA MS",-89.96900177,34.61786652,10,5,3,2
"SENECA FALLS NY",-76.79602814,42.91084671,3,1,0,2
"SENECA MO",-94.61161804,36.8415184,1,0,0,1
"SENECA SC",-82.95318604,34.68600845,37,11,7,19
"SENECA WI",-90.95878601,43.2650795,1,1,0,0
"SENOIA GA",-84.55380249,33.30273819,2,1,0,1
"SEQUIM WA",-123.1045303,48.07928085,10,3,5,2
"SEVEN MILE OH",-84.55196381,39.48035049,1,0,0,1
"SEVIERVILLE TN",-83.56149292,35.86820984,15,3,5,7
"SEWARD NE",-97.09983063,40.90684891,1,1,0,0
"SEWICKLEY PA",-80.18386078,40.5364151,4,1,1,2
"SEYMOUR CT",-73.0753479,41.39679718,5,0,1,4
"SEYMOUR IN",-85.89046478,38.95923996,1,0,0,1
"SEYMOUR MO",-92.76896667,37.14664459,1,1,0,0
"SHAFTER CA",-119.2740555,35.50065613,10,2,2,6
"SHAFTSBURY VT",-73.19034576,43.0089798,1,0,1,0
"SHAKER HEIGHTS OH",-81.53669739,41.47419357,646,154,179,313
"SHAKOPEE MN",-93.52770233,44.79788971,49,11,19,19
"SHALLOTTE NC",-78.38527679,33.97378159,2,0,0,2
"SHAMOKIN PA",-76.55822754,40.78910828,1,1,0,0
"SHARON MA",-71.17311096,42.12431335,13,6,2,5
"SHARON PA",-80.49273682,41.2334137,5,2,1,2
"SHARON WI",-88.7290802,42.50258255,1,0,0,1
"SHARONVILLE OH",-84.41338348,39.26810455,2,0,1,1
"SHARPSBURG MD",-77.74819183,39.45773315,2,0,0,2
"SHARPSBURG NC",-77.82837677,35.86738205,1,1,0,0
"SHARPSVILLE IN",-86.08840179,40.37942886,16,4,5,7
"SHAWANO WI",-88.60903931,44.78231049,1,1,0,0
"SHAWNEE KS",-94.7208786,39.0417366,213,58,57,98
"SHAWNEE OK",-96.92608643,35.32754898,42,15,8,19
"SHEBOYGAN WI",-87.71476746,43.75089264,446,119,125,202
"SHEFFIELD AL",-87.69856262,34.76504517,1,0,0,1
"SHEFFIELD IA",-93.2154007,42.89302444,1,0,0,1
"SHEFFIELD LAKE OH",-82.10116577,41.48757935,5,0,0,5
"SHELBURNE VT",-73.22679901,44.3805542,2,0,1,1
"SHELBY IA",-95.45110321,41.51625061,10,1,3,6
"SHELBY MI",-86.36434174,43.60855484,2,2,0,0
"SHELBY NC",-81.53518677,35.29262543,23,11,7,5
"SHELBYVILLE IL",-88.78992462,39.40638733,6,4,2,0
"SHELBYVILLE IN",-85.77182007,39.5215683,11,3,1,7
"SHELBYVILLE KY",-85.22341156,38.21203232,15,7,3,5
"SHELBYVILLE MO",-92.04193878,39.80587006,1,1,0,0
"SHELBYVILLE TN",-86.46025848,35.4834137,2,0,0,2
"SHELDON IA",-95.8535614,43.18698502,37,7,13,17
"SHELTON CT",-73.09243011,41.31684494,15,5,6,4
"SHELTON WA",-123.0995026,47.21501923,2,1,1,0
"SHENANDOAH IA",-95.3727951,40.76542664,1,1,0,0
"SHENANDOAH PA",-76.20007324,40.8204422,1,0,1,0
"SHEPHERD TX",-94.99694824,30.49860954,2,1,1,0
"SHEPHERDSVILLE KY",-85.71594238,37.98869324,1,0,0,1
"SHERIDAN WY",-106.9579773,44.7972641,3,0,3,0
"SHERMAN IL",-89.60519409,39.89391327,2,0,2,0
"SHERMAN NY",-79.59461212,42.15943146,1,0,0,1
"SHERMAN TX",-96.60933685,33.63597488,37,11,11,15
"SHERWOOD AR",-92.22438049,34.81515884,31,8,8,15
"SHERWOOD OR",-122.8425446,45.35624313,14,2,6,6
"SHERWOOD WI",-89.30547333,44.311050415,2,0,1,1
"SHINNSTON WV",-80.29944611,39.39526749,1,0,1,0
"SHIPPENSBURG PA",-77.51955414,40.05068207,12,6,2,4
"SHIPSHEWANA IN",-85.58047485,41.67308807,1,0,0,1
"SHIVELY KY",-85.82255554,38.20013809,49,12,11,26
"SHOREVIEW MN",-93.1241684,45.06987762,10,4,3,3
"SHOREWOOD IL",-88.201828,41.52030182,10,5,4,1
"SHOREWOOD WI",-87.88748932,43.08912277,3,2,1,0
"SHREVEPORT LA",-93.7507019,32.52565002,600,169,139,292
"SHREWSBURY MA",-71.7025528,42.29489517,2,0,0,2
"SHREWSBURY MO",-90.3371582,38.59024811,2,0,1,1
"SIDNEY NE",-102.9793778,41.14286041,1,0,1,0
"SIDNEY OH",-84.15549469,40.28426743,7,3,4,0
"SIERRA MADRE CA",-118.0547943,34.16183853,47,13,9,25
"SIERRA VISTA AZ",-110.3048325,31.55449295,13,5,2,6
"SIGEL IL",-88.49406433,39.22620392,1,0,0,1
"SIGNAL HILL CA",-118.1697388,33.80453873,1,0,0,1
"SIGNAL MOUNTAIN TN",-85.34446716,35.12252808,2,0,0,2
"SIKESTON MO",-89.5878067,36.87693024,22,8,8,6
"SILAS AL",-88.32923126,31.76582909,1,0,0,1
"SILER CITY NC",-79.46157074,35.72395325,1,0,0,1
"SILOAM GA",-83.08058929,33.53709412,1,0,0,1
"SILOAM SPRINGS AR",-94.54097748,36.18841934,28,10,6,12
"SILSBEE TX",-94.17839813,30.34930038,3,1,0,2
"SILVER CITY NM",-108.281929,32.77336884,7,3,0,4
"SILVER CREEK NY",-79.16636658,42.5442009,1,1,0,0
"SILVERTON OH",-84.4001236,39.19305038,2,0,1,1
"SILVERTON OR",-122.7857742,45.00499725,9,4,4,1
"SIMI VALLEY CA",-118.7839508,34.26951981,101,35,20,46
"SIMPSONVILLE SC",-82.25405121,34.73744202,18,6,5,7
"SIMSBORO LA",-92.78874969,32.534729,2,1,1,0
"SIMSBURY CT",-72.8000412,41.8762207,7,2,2,3
"SINTON TX",-97.50976562,28.03709793,3,0,2,1
"SIOUX CENTER IA",-96.17614746,43.0798111,13,5,0,8
"SIOUX CITY IA",-96.40085602,42.5001564,60,19,13,28
"SIOUX FALLS SD",-96.73429108,43.54177475,338,99,85,154
"SISSETON SD",-97.052948,45.66472244,2,1,1,0
"SISTER BAY WI",-87.12120819,45.19202423,2,1,0,1
"SISTERS OR",-121.5517273,44.29083252,1,0,0,1
"SKANEATELES NY",-76.42854309,42.94717026,2,1,0,1
"SKIATOOK OK",-96.00171661,36.36858749,1,1,0,0
"SKOKIE IL",-87.73321533,42.03328705,27,9,6,12
"SKYKOMISH WA",-121.362587,47.70903015,1,0,0,1
"SLEEPY EYE MN",-94.72470093,44.29698563,1,0,1,0
"SLIDELL LA",-89.78143311,30.27558708,132,41,38,53
"SLIPPERY ROCK PA",-80.05516052,41.06407928,15,4,7,4
"SLOATSBURG NY",-74.19187164,41.15483475,5,3,0,2
"SMITHFIELD NC",-78.33872223,35.50891876,1,0,1,0
"SMITHFIELD VA",-76.63034058,36.98272324,6,2,2,2
"SMITHSBURG MD",-77.57201385,39.65513611,1,0,1,0
"SMITHTON MO",-93.09358978,38.68019104,3,3,0,0
"SMITHTOWN NY",-73.1995163,40.85629654,1,0,0,1
"SMITHVILLE MO",-94.58171082,39.38669586,14,3,1,10
"SMITHVILLE TN",-85.81411743,35.96058273,14,9,0,5
"SMYRNA DE",-75.60120392,39.30263519,4,0,2,2
"SMYRNA GA",-84.51447296,33.88409042,89,20,29,40
"SMYRNA TN",-86.51843262,35.98318863,33,7,11,15
"SNOHOMISH WA",-122.1009903,47.91241837,31,7,11,13
"SNOQUALMIE WA",-121.8274155,47.52823257,4,0,2,2
"SNOW HILL NC",-77.68035889,35.45199203,7,2,2,3
"SNYDER TX",-100.9179764,32.71789169,2,0,0,2
"SOCIAL CIRCLE GA",-83.71785736,33.65628433,55,8,18,29
"SOCORRO NM",-106.8982925,34.06193924,2,0,2,0
"SOLANA BEACH CA",-117.2725525,32.99123383,43,18,10,15
"SOLDOTNA AK",-151.0635071,60.47569275,7,2,3,2
"SOLEDAD CA",-121.3278732,36.42473984,11,2,5,4
"SOLON IA",-91.49409485,41.80740738,1,0,1,0
"SOLON OH",-81.44110107,41.3899231,4,0,1,3
"SOLVANG CA",-120.139946,34.59571075,1,0,0,1
"SOMERDALE NJ",-75.02175903,39.8440094,1,0,0,1
"SOMERS WI",-87.9103775,42.64015579,5,1,3,1
"SOMERSET KY",-84.60385132,37.09214783,3,3,0,0
"SOMERSET MA",-71.12979889,41.77045441,2,1,0,1
"SOMERSET PA",-79.0776825,40.00854874,2,1,1,0
"SOMERSWORTH NH",-70.86653137,43.26175308,1,0,1,0
"SOMERTON AZ",-114.7113113,32.59666443,3,1,1,1
"SOMERVILLE MA",-71.09860992,42.38757324,1017,307,255,455
"SOMERVILLE NJ",-74.60894775,40.57460785,2,0,2,0
"SONOMA CA",-122.4600754,38.29153061,43,9,14,20
"SONORA CA",-120.3842011,37.98400497,152,45,35,72
"SORRENTO LA",-90.85954285,30.18468285,1,0,1,0
"SOUDERTON PA",-75.32456207,40.31177902,16,4,7,5
"SOUTH AMBOY NJ",-74.28966522,40.47789383,3,2,0,1
"SOUTH BELOIT IL",-89.03701782,42.49333191,3,1,0,2
"SOUTH BEND IN",-86.25171661,41.67295837,678,186,206,286
"SOUTH BOSTON VA",-78.90062714,36.6987915,3,1,2,0
"SOUTH BOUND BROOK NJ",-74.53087616,40.55379105,4,1,1,2
"SOUTH BURLINGTON VT",-73.17012787,44.46702576,1,0,1,0
"SOUTH CHARLESTON WV",-81.69944763,38.36863708,7,1,1,5
"SOUTH CHICAGO HEIGHTS IL",-87.63790894,41.48114014,3,2,1,0
"SOUTH ELGIN IL",-88.29248047,41.99429321,2,0,0,2
"SOUTH EUCLID OH",-81.51824188,41.5230751,3,0,1,2
"SOUTH GATE CA",-118.213707,33.95462799,146,31,46,69
"SOUTH HADLEY MA",-72.57582855,42.26013184,20,6,9,5
"SOUTH HOLLAND IL",-87.60710144,41.60099792,9,1,5,3
"SOUTH HOUSTON TX",-95.23612976,29.66330719,8,3,4,1
"SOUTH JORDAN UT",-111.9315186,40.56394577,15,3,6,6
"SOUTH LAKE TAHOE CA",-119.972786,38.94574356,98,26,25,47
"SOUTH LYON MI",-83.65129089,42.46051788,16,6,4,6
"SOUTH MIAMI FL",-80.29296875,25.70849991,8,0,3,5
"SOUTH MILWAUKEE WI",-87.86100006,42.91051483,4,2,0,2
"SOUTH NYACK NY",-73.91947937,41.08323288,7,2,2,3
"SOUTH PASADENA CA",-118.1516647,34.11618805,8,3,2,3
"SOUTH PITTSBURG TN",-85.70410156,35.01231766,6,2,2,2
"SOUTH PLAINFIELD NJ",-74.41103363,40.57961655,33,9,6,18
"SOUTH PORTLAND ME",-70.23975372,43.6415062,31,6,8,17
"SOUTH RIVER NJ",-74.38522339,40.44672394,15,3,6,6
"SOUTH SALT LAKE UT",-111.8901367,40.71858215,7,1,1,5
"SOUTH SAN FRANCISCO CA",-122.4101868,37.65430069,38,12,11,15
"SOUTH SIOUX CITY NE",-96.4140625,42.47398376,1,0,0,1
"SOUTH TUCSON AZ",-110.9697952,32.19969177,3,0,0,3
"SOUTH WHITLEY IN",-85.62773895,41.08475113,1,0,0,1
"SOUTHAMPTON NY",-72.38861084,40.88444519,281,65,90,126
"SOUTHAMPTON PA",-75.04278564,40.17464447,6,2,2,2
"SOUTHAVEN MS",-90.02496338,34.99386215,17,5,5,7
"SOUTHBOROUGH MA",-71.52334595,42.30595398,1,1,0,0
"SOUTHERN PINES NC",-79.39178467,35.17448425,4,0,1,3
"SOUTHFIELD MI",-83.22153473,42.47357559,95,25,26,44
"SOUTHGATE MI",-83.19342804,42.2142067,17,5,7,5
"SOUTHINGTON CT",-72.8768158,41.59680557,40,9,10,21
"SOUTHLAKE TX",-97.13466644,32.94153214,11,5,1,5
"SOUTHPORT NC",-78.01985931,33.9217453,4,1,1,2
"SOUTHWEST PA",-79.52024078,40.19903183,1,1,0,0
"SOUTHWICK MA",-72.76921844,42.05488205,15,5,2,8
"SPANISH FORK UT",-111.6517334,40.11501312,3,0,0,3
"SPANISH FORT AL",-87.88751221,30.67488098,1,1,0,0
"SPARKS NV",-119.7548142,39.53468704,68,17,25,26
"SPARTA GA",-82.97600555,33.27603531,1,1,0,0
"SPARTA IL",-89.70211792,38.12332535,5,1,1,3
"SPARTA KY",-84.90686798,38.67728806,1,0,0,1
"SPARTA MI",-85.71018982,43.16081238,3,2,0,1
"SPARTA NC",-81.12025452,36.50556946,2,0,2,0
"SPARTA TN",-85.46425629,35.9259491,5,2,1,2
"SPARTANBURG SC",-81.93160248,34.94982529,429,122,104,203
"SPEARFISH SD",-103.8635941,44.49181366,11,0,1,10
"SPEARMAN TX",-101.1934052,36.19818497,3,1,2,0
"SPEEDWAY IN",-86.2671051,39.80224609,346,82,102,162
"SPENCER IA",-95.14494324,43.14133835,3,1,2,0
"SPENCER MA",-71.98745728,42.24233246,1,0,1,0
"SPENCER NC",-80.43426514,35.69260025,1,0,0,1
"SPENCER OK",-97.3780365,35.52297974,4,1,2,1
"SPENCER TN",-85.46665192,35.74720764,1,0,0,1
"SPENCERVILLE OH",-84.35338593,40.70881653,1,1,0,0
"SPERRY OK",-95.99079132,36.2984314,1,0,0,1
"SPIRIT LAKE IA",-95.10250854,43.4221344,2,0,0,2
"SPIRO OK",-94.62031555,35.24132538,12,2,4,6
"SPOKANE WA",-117.4281387,47.65847015,976,292,272,412
"SPOTSWOOD NJ",-74.39738464,40.39186096,1,1,0,0
"SPRAGUE NE",-96.7452774,40.62594604,1,1,0,0
"SPRING CITY PA",-75.54719543,40.17708588,2,1,0,1
"SPRING HILL TN",-86.93003845,35.75111389,41,6,16,19
"SPRING LAKE HEIGHTS NJ",-74.03012848,40.1507225,1,0,1,0
"SPRING LAKE MI",-86.19725037,43.07686234,3,2,1,0
"SPRING LAKE NC",-78.97221375,35.16840744,3,1,0,2
"SPRING VALLEY NY",-74.04323578,41.11329269,2,1,0,1
"SPRINGDALE AR",-94.12921143,36.1869278,85,17,31,37
"SPRINGDALE OH",-84.48524475,39.28693008,2,0,1,1
"SPRINGFIELD IL",-89.6439743,39.80184174,698,190,194,314
"SPRINGFIELD KY",-85.22190857,37.68533707,2,2,0,0
"SPRINGFIELD MA",-72.57289124,42.10980606,210,59,56,95
"SPRINGFIELD MO",-93.29862213,37.21548843,2967,842,776,1349
"SPRINGFIELD NJ",-74.31019592,40.72328568,1,1,0,0
"SPRINGFIELD OH",-83.80889893,39.92424011,19,7,6,6
"SPRINGFIELD OR",-123.024704,44.04590988,26,3,5,18
"SPRINGFIELD PA",-75.31934357,39.93074036,3,1,1,1
"SPRINGFIELD TN",-86.88502502,36.50941086,15,3,5,7
"SPRINGFIELD VT",-72.48161316,43.29873657,32,8,6,18
"SPRINGTOWN TX",-97.68406677,32.96629715,1,0,1,0
"SPRINGVILLE UT",-111.6123734,40.16522598,2,0,2,0
"SPRUCE PINE NC",-82.06425476,35.91545486,2,0,1,1
"ST LOUIS MO",-90.19819641,38.62716675,70132,21676,15987,32469
"STAMFORD CT",-73.53807068,41.05353165,169,44,45,80
"STAMFORD TX",-99.80379486,32.94544601,1,1,0,0
"STAMPING GROUND KY",-84.68621826,38.27175522,2,2,0,0
"STANFORD KY",-84.66183472,37.53141403,1,0,0,1
"STANHOPE NJ",-74.70857239,40.90287399,2,0,1,1
"STANLEY ID",-114.9478149,44.21094131,1,1,0,0
"STANLEY LA",-93.89855957,31.96143341,1,0,1,0
"STANLEY NC",-81.09666443,35.35927582,5,0,2,3
"STANLEY ND",-102.3895187,48.31685638,1,0,1,0
"STANTON CA",-117.9945526,33.80238724,7,2,1,4
"STANTON KY",-83.85791779,37.84600449,6,2,1,3
"STANWOOD WA",-122.3728256,48.24087524,19,4,8,7
"STAPLES MN",-94.79264069,46.35538483,8,3,3,2
"STAR ID",-116.495697,43.69187927,3,0,1,2
"STARKE FL",-82.10956573,29.94442368,10,2,2,6
"STARKVILLE MS",-88.81492615,33.46545029,115,31,38,46
"STATE COLLEGE PA",-77.85973358,40.79336929,248,75,69,104
"STATESBORO GA",-81.78266907,32.44914246,210,48,53,109
"STATESVILLE NC",-80.88671875,35.78310013,15,6,4,5
"STATHAM GA",-83.59605408,33.96524429,2,0,0,2
"STAUNTON IL",-89.79161072,39.01238632,5,2,2,1
"STAUNTON VA",-79.07145691,38.14970016,39,7,14,18
"STAYTON OR",-122.7968597,44.8002739,1,1,0,0
"STEAMBOAT SPRINGS CO",-106.8292313,40.48627853,55,13,19,23
"STEELE AL",-86.20155334,33.94023514,1,0,1,0
"STEELTON PA",-76.84079742,40.23532486,1,0,1,0
"STEELVILLE MO",-91.35505676,37.96838379,11,2,2,7
"STEILACOOM WA",-122.6048813,47.16923141,50,16,10,24
"STEPHENS CITY VA",-78.217659,39.08377075,3,1,1,1
"STEPHENVILLE TX",-98.20308685,32.22081757,20,8,3,9
"STERLING CO",-103.2093811,40.62519073,8,2,4,2
"STERLING HEIGHTS MI",-83.03016663,42.58047485,30,9,9,12
"STERLING IL",-89.69670868,41.78865433,5,0,5,0
"STEUBENVILLE OH",-80.63353729,40.36983871,10,2,2,6
"STEVENS POINT WI",-89.57467651,44.52337265,106,33,27,46
"STEVENSVILLE MI",-86.51921082,42.0143013,1,0,0,1
"STEVENSVILLE MT",-114.0948715,46.50963974,3,1,2,0
"STILLWATER MN",-92.80657959,45.05171967,40,13,13,14
"STILLWATER OK",-97.0588913,36.11580658,64,13,21,30
"STILWELL OK",-94.62871552,35.81448746,2,2,0,0
"STOCKBRIDGE GA",-84.23356628,33.54455185,55,16,14,25
"STOCKTON CA",-121.293457,37.95776749,622,171,179,272
"STOKESDALE NC",-79.97875977,36.23734283,2,0,1,1
"STONE MOUNTAIN GA",-84.14538574,33.8065033,194,50,49,95
"STONE PARK IL",-87.88384247,41.90581894,1,1,0,0
"STONEHAM MA",-71.09869385,42.48027039,11,4,3,4
"STORM LAKE IA",-95.20105743,42.64270401,2,1,0,1
